medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_Bronx, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
8BD235F104C5A63B681DD06F8295550E,,,,,2013/8/10 03:50,2013/8/10 04:02,,732.0,1.6,-73.849533,40.875507,-73.83445,40.887047,True,C4CBEE3666C6D7DCC6C86F597BC91E35,CMT,1.0,N,,,1.0,,,,,,
B0C2F0D1917DB28D72DB6A0EC42C1FF6,,,,,2013/8/6 20:54,2013/8/6 20:57,,172.0,0.8,-73.845924,40.878181,-73.842659,40.869362,True,882F74DA790719E7E63FD134FAE1E7C7,CMT,1.0,N,,,2.0,,,,,,
C1EF959C8FE0AB194898D1B9D583E287,,,,,2013/8/9 20:02,2013/8/9 20:02,,41.0,0.2,-73.846199,40.877445,-73.848389,40.879967,True,CCFA1FAB193567AD0AB748B2C828D45F,CMT,1.0,N,,,1.0,,,,,,
DCD2235F03F0E18EF9CBCB06A6BED24E,,,,,2013/8/19 05:28,2013/8/19 05:29,,40.0,0.0,-73.84726,40.872093,-73.847282,40.872108,True,DC6505A0C49527D2B39AD7926962A59A,CMT,5.0,N,,,1.0,,,,,,
78CAD7950B87C9C16DB014D6AE4D7D65,,,,,2013/8/19 22:52,2013/8/19 23:14,,1304.0,16.6,-73.850075,40.871758,-73.850075,40.871758,True,4B6BF2747327E819372DBC0B8C7D5C90,CMT,1.0,N,,,1.0,,,,,,
CD4F6FCC28F932E66CD09DF340FFF16F,,,,,2013/8/25 23:36,2013/8/25 23:42,,363.0,1.6,-73.841011,40.872734,-73.857208,40.886803,True,589B5C64B0A6D185CE8765C9DEE70D36,CMT,1.0,N,,,1.0,,,,,,
41775ADD627BFCF3C6BD3E5C1A661395,,,,,2013/8/19 05:03,2013/8/19 05:11,,510.0,1.8,-73.847038,40.8703,-73.864326,40.870594,True,C17D220B6963C4885688EBF8AF31B0AA,CMT,1.0,N,,,1.0,,,,,,
556EAA26F84E375428E772B24017E70E,,,,,2013/8/25 17:59,2013/8/25 18:14,,894.0,2.9,-73.849777,40.872196,-73.891853,40.861408,True,B8106B715574FECA5B768501CFC7595C,CMT,1.0,N,,,4.0,,,,,,
AB0407824CB0F06EF6891BB0BC6B27A3,,,,,2013/8/10 23:31,2013/8/10 23:43,,720.0,3.09,-73.849373,40.873436,-73.849373,40.873436,True,464A4E80C1E40C60160FA93CBC8B57F1,VTS,1.0,,,,2.0,,,,,,
414A7C1C2F9A1DA1DC5A11DA026202B4,,,,,2013/9/25 18:21,2013/9/25 19:05,,2640.0,20.53,-73.849373,40.872002,-73.873306,40.876869,True,3D907463A81CD6E7CF09CB968F6A2C78,VTS,1.0,,,,3.0,,,,,,
11EDC235E40AC02E179B13BE77314003,,,,,2013/9/23 16:17,2013/9/23 16:19,,113.0,0.6,-73.844284,40.871155,-73.843651,40.877644,True,E00B728D36EE6FAC63972627B9C65AFF,CMT,1.0,N,,,1.0,,,,,,
49E23EC3DA7E90558E3C219CFA425A54,,,,,2013/9/3 00:54,2013/9/3 01:12,,1080.0,2.48,-73.84671,40.877731,-73.851418,40.893196,True,9CAB163FC61173A15F60CDFC6CE37CF1,VTS,1.0,,,,1.0,,,,,,
329E282FAC548E96190DEAF7169CE8C0,,,,,2013/10/13 01:37,2013/10/13 01:39,,106.0,0.6,-73.844437,40.869946,-73.846771,40.877632,True,76E5C89F12E7404EFAD599C945986D3B,CMT,1.0,N,,,1.0,,,,,,
0CC3C5C62116BE9DC72FABBC18973518,,,,,2013/10/18 19:11,2013/10/18 19:23,,735.0,3.0,-73.845787,40.870213,-73.861504,40.837799,True,2604C956E2ED2036576DC0EB827C820C,CMT,1.0,N,,,1.0,,,,,,
934CBE824296B5783676567F8907E047,,,,,2013/10/27 20:45,2013/10/27 20:49,,231.0,1.3,-73.850044,40.876083,-73.834389,40.863705,True,C919A4115A7BD44441465D6C0631F614,CMT,1.0,N,,,1.0,,,,,,
7E67C6ADD5954C8904E2304B1D1EB694,,,,,2013/10/21 17:55,2013/10/21 18:03,,446.0,1.0,-73.850571,40.875244,-73.850571,40.875244,True,6271BFE3FDB31098A961AB6E6CFD18EE,CMT,1.0,N,,,1.0,,,,,,
9D12D181777ED1A363D928A5FB08CFA2,,,,,2013/10/12 06:05,2013/10/12 06:21,,960.0,10.1,-73.850151,40.875847,-73.928291,40.824226,True,6CBCE551223478782D2FE9DFF18ED626,VTS,1.0,,,,6.0,,,,,,
C74CDA44F0FCA1D73673D969CF3AFC1D,,,,,2013/10/22 17:47,2013/10/22 18:09,,1320.0,8.47,-73.842682,40.878826,-73.905357,40.828991,True,7B64EA4A0F8DB111979890D4A55D7BAE,VTS,1.0,,,,1.0,,,,,,
C5E51C3EC50905FC8864A5CEC0B54694,,,,,2013/10/25 12:25,2013/10/25 12:50,,1500.0,5.63,-73.841614,40.867924,-73.911018,40.834923,True,98B3BA4FF58F3C13C3CF15699F76785F,VTS,1.0,,,,4.0,,,,,,
AFC3C8A35864747865315F87FBC3172B,,,,,2013/10/25 15:01,2013/10/25 15:06,,300.0,1.28,-73.84594,40.87027,-73.828064,40.867146,True,E2387911C7791BFDC49CDBD71AEA5183,VTS,1.0,,,,5.0,,,,,,
E088F1ADBC5962AC31E8721FFAE337A6,,,,,2013/11/16 16:56,2013/11/16 17:18,,1320.0,9.94,-73.845497,40.875446,-73.930679,40.808159,True,DA3CC41F9DE5C4C4FC1506F91BCFBCC9,VTS,1.0,,,,1.0,,,,,,
45E64013C02CAB97F5651AD6873975EF,,,,,2013/11/19 14:08,2013/11/19 14:14,,360.0,1.47,-73.843758,40.878937,-73.823288,40.880741,True,53250A6497E84CA6D32E1AA1106A74F4,VTS,1.0,,,,1.0,,,,,,
49E23EC3DA7E90558E3C219CFA425A54,,,,,2013/11/23 23:00,2013/11/24 00:19,,4740.0,2.33,-73.846848,40.87701,-73.851097,40.892502,True,9CAB163FC61173A15F60CDFC6CE37CF1,VTS,1.0,,,,1.0,,,,,,
780019C2251AC1F362F164ED976E8080,,,,,2013/11/5 03:06,2013/11/5 03:12,,340.0,0.9,-73.852554,40.873829,-73.838539,40.881756,True,532DD3322875CC57929C35ACF92EB01F,CMT,1.0,N,,,1.0,,,,,,
7212769305FF491CD9DBEE936E192B8B,,,,,2013/11/10 16:58,2013/11/10 17:04,,386.0,1.3,-73.841049,40.872646,-73.838501,40.881798,True,B94D59E689D307E50117BF523500CB0A,CMT,1.0,Y,,,1.0,,,,,,
C1A9F4FEC00376BA54B6CF5485AB3838,,,,,2013/11/12 17:54,2013/11/12 17:55,,83.0,0.3,-73.850082,40.875916,-73.854805,40.875732,True,6495E98DD50D605BD0529BDC40E06209,CMT,1.0,N,,,1.0,,,,,,
86CEDC497071555D06D19774203F1B88,,,,,2013/11/3 01:56,2013/11/3 02:06,,600.0,5.08,-73.852737,40.873905,-73.886002,40.828476,True,08042CA151A40CD73FC12AF7DC482E07,VTS,1.0,,,,2.0,,,,,,
DDE6F0B0832FA5CCE8491924E360FB45,,,,,2013/11/28 19:04,2013/11/28 19:21,,1020.0,8.11,-73.850761,40.875526,-73.931198,40.813522,True,80ED3AD1E6404B57EA726FBD062EB685,VTS,1.0,,,,2.0,,,,,,
FE0AAB5EEAB63134E7458A3247EBFAFE,,,,,2013/11/28 14:55,2013/11/28 14:57,,120.0,1.01,-73.849091,40.876118,-73.837822,40.873947,True,96DC69170DE00054FA4ECD3A11A0A7DF,VTS,1.0,,,,1.0,,,,,,
F4AA05A75CEF4D5E587FE557063FBA11,,,,,2013/12/29 04:13,2013/12/29 04:27,,840.0,5.38,-73.844276,40.868816,-73.818245,40.832058,True,3E5FF00E90B2F45465D0B2A395E3FC97,VTS,1.0,,,,2.0,,,,,,
9D12D181777ED1A363D928A5FB08CFA2,,,,,2013/12/23 07:22,2013/12/23 07:32,,600.0,3.71,-73.851608,40.874981,-73.902985,40.860004,True,F703AE4563AA348787DB26458372E5F3,VTS,1.0,,,,6.0,,,,,,
5562E98BA4BD4057E5626F1C64AF72B3,,,,,2013/12/23 01:54,2013/12/23 01:58,,240.0,1.25,-73.846191,40.877167,-73.865219,40.871433,True,E811858F45A738F8884D8FB3FF66E3A7,VTS,1.0,,,,5.0,,,,,,
0310297769C8B049C0EA8E87C697F755,,,,,2013/12/29 04:39,2013/12/29 04:46,,420.0,1.77,-73.841248,40.873074,-73.860229,40.86245,True,46940ACA45BB392B22B6C328C7F783CC,VTS,1.0,,,,1.0,,,,,,
8F9471F4EBE3164C9500F8585129F582,,,,,2013/12/28 03:38,2013/12/28 03:47,,545.0,5.9,-73.842873,40.871456,-73.86898,40.830563,True,2B136C49BF7065DF31E92D4B88FF3F93,CMT,1.0,N,,,1.0,,,,,,
ADCAD1F3BB8E3500A9B78E3D00F2AE2B,,,,,2013/12/23 14:37,2013/12/23 14:37,,3905.0,16.4,-73.847565,40.871174,-73.847565,40.871174,True,CE6105A23A0AC634E1199DDAAC13E75D,CMT,1.0,N,,,2.0,,,,,,
E83290BC94E9F251C6739AAD65998657,,,,,2013/12/24 20:36,2013/12/24 20:37,,14.0,0.0,-73.846542,40.875465,-73.84655,40.875458,True,FB5F4CD767CF0113AEF604FFFBD99A25,CMT,1.0,N,,,1.0,,,,,,
CFB8D68310144E9ED32B5F4E51AF583A,,,,,2013/12/8 04:33,2013/12/8 04:48,,924.0,11.1,-73.844017,40.878689,-73.923004,40.816814,True,4908CD081247683294299977AF2633CA,CMT,1.0,N,,,1.0,,,,,,
E83290BC94E9F251C6739AAD65998657,,,,,2013/12/24 20:37,2013/12/24 20:37,,2.0,0.0,-73.846558,40.875446,-73.846558,40.875446,True,FB5F4CD767CF0113AEF604FFFBD99A25,CMT,1.0,N,,,1.0,,,,,,
